phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID
Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus laterna,Arnoglossus laterna,species,127126,Arnoglossus laterna,127126
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,species,127137,Hippoglossoides platessoides,127137
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes platessa,Pleuronectes platessa,species,127143,Pleuronectes platessa,127143
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus kitt,Microstomus kitt,species,127140,Microstomus kitt,127140
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda limanda,Limanda limanda,species,127139,Limanda limanda,127139
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,NA,Limanda,genus,126117,Limanda,126117
Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,Pleuronectidae,family,125579,Pleuronectidae,125579
Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Phrynorhombus,Phrynorhombus norvegicus,Phrynorhombus norvegicus,species,127147,Phrynorhombus norvegicus,127147
Chordata,Actinopterygii,Pleuronectiformes,NA,NA,NA,Pleuronectiformes,order,10331,Pleuronectiformes,10331
Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes marinus,Ammodytes marinus,species,126751,Ammodytes marinus,126751
Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus,Ammodytes hexapterus,species,254510,Ammodytes hexapterus,254510
Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes americanus,Ammodytes americanus,species,159587,Ammodytes americanus,159587
Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus,Ammodytes tobianus,species,126752,Ammodytes tobianus,126752
Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes lanceolatus,Ammodytes lanceolatus,species,146485,Hyperoplus lanceolatus,126756
Chordata,Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus lanceolatus,Hyperoplus lanceolatus,species,126756,Hyperoplus lanceolatus,126756
Chordata,Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,Hyperoplus immaculatus,species,126755,Hyperoplus immaculatus,126755
Chordata,Actinopterygii,Perciformes,Ammodytidae,Gymnoammodytes,Gymnammodytes semisquamatus,Gymnammodytes semisquamatus,species,126754,Gymnammodytes semisquamatus,126754
Chordata,Actinopterygii,Perciformes,Ammodytidae,NA,NA,Ammodytidae,family,125516,Ammodytidae,125516
Chordata,Actinopterygii,Perciformes,Gobiidae,Gobius,Gobius niger,Gobius niger,species,126892,Gobius niger,126892
Chordata,Actinopterygii,Perciformes,Gobiidae,Gobius,NA,Gobius,genus,125988,Gobius,125988
Chordata,Actinopterygii,Perciformes,Gobiidae,Crystallogobius,Crystallogobius linearis,Crystallogobius linearis,species,126878,Crystallogobius linearis,126878
Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiusculus,Gobiusculus flavescens,Gobiusculus flavescens,species,126898,Gobiusculus flavescens,126898
Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Pomatoschistus minutus,Pomatoschistus minutus,species,126928,Pomatoschistus minutus,126928
Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Pomatoschistus microps,Pomatoschistus microps,species,126927,Pomatoschistus microps,126927
Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Pomatoschistus pictus,Pomatoschistus pictus,species,126930,Pomatoschistus pictus,126930
Chordata,Actinopterygii,Perciformes,Gobiidae,Aphia,Aphia minuta,Aphia minuta,species,126868,Aphia minuta,126868
Chordata,Actinopterygii,Perciformes,Gobiidae,NA,NA,Gobiidae,family,125537,Gobiidae,125537
Chordata,Actinopterygii,Perciformes,Labridae,Labrus,Labrus mixtus,Labrus mixtus,species,151501,Labrus mixtus,151501
Chordata,Actinopterygii,Perciformes,Labridae,Labrus,Labrus bergylta,Labrus bergylta,species,126965,Labrus bergylta,126965
Chordata,Actinopterygii,Perciformes,Labridae,Labrus,NA,Labrus,genus,126021,Labrus,126021
Chordata,Actinopterygii,Perciformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Ctenolabrus rupestris,species,126964,Ctenolabrus rupestris,126964
Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,Symphodus melops,Symphodus melops,species,273571,Symphodus melops,273571
Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris julis,Coris julis,species,126963,Coris julis,126963
Chordata,Actinopterygii,Perciformes,Labridae,NA,NA,Labridae,family,125541,Labridae,125541
Chordata,Actinopterygii,Perciformes,Zoarcidae,Lycodes,NA,Lycodes,genus,126104,Lycodes,126104
Chordata,Actinopterygii,Perciformes,Zoarcidae,Gymnelus,Gymnelus viridis,Gymnelus viridis,species,127096,Gymnelus viridis,127096
Chordata,Actinopterygii,Perciformes,Zoarcidae,Eumesogrammus,Eumesogrammus praecisus,Eumesogrammus praecisus,species,159817,Eumesogrammus praecisus,159817
Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,Zoarces viviparus,Zoarces viviparus,species,127123,Zoarces viviparus,127123
Chordata,Actinopterygii,Perciformes,Stichaeidae,Anisarchus,Anisarchus medius,Anisarchus medius,species,127070,Anisarchus medius,127070
Chordata,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,Lumpenus lampretaeformis,species,154675,Lumpenus lampretaeformis,154675
Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus,species,127072,Leptoclinus maculatus,127072
Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis gunnellus,Pholis gunnellus,species,126996,Pholis gunnellus,126996
Chordata,Actinopterygii,Perciformes,Pholidae,NA,NA,Pholidae,family,125550,Pholidae,125550
Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,Peprilus triacanthus,Peprilus triacanthus,species,159828,Peprilus triacanthus,159828
Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber scombrus,Scomber scombrus,species,127023,Scomber scombrus,127023
Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus,Anarhichas lupus,species,126758,Anarhichas lupus,126758
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus lyra,Callionymus lyra,species,126792,Callionymus lyra,126792
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus maculatus,Callionymus maculatus,species,126793,Callionymus maculatus,126793
Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,NA,Callionymus,genus,125930,Callionymus,125930
Chordata,Actinopterygii,Perciformes,Callionymidae,NA,NA,Callionymidae,family,125522,Callionymidae,125522
Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,species,126822,Trachurus trachurus,126822
Chordata,Actinopterygii,Perciformes,Carangidae,NA,NA,Carangidae,family,125523,Carangidae,125523
Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,Echiichthys vipera,Echiichthys vipera,species,150630,Echiichthys vipera,150630
Chordata,Actinopterygii,Perciformes,Trachinidae,NA,NA,Trachinidae,family,125570,Trachinidae,125570
